TimeSlice,EventSeq
5381987,"['E1', 'E1', 'E1']"
5381990,"['E1', 'E1', 'E1', 'E1', 'E2']"
5381992,"['E1', 'E1', 'E1']"
5381994,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E1', 'E2']"
5381996,"['E1', 'E1', 'E1']"
5381997,"['E1', 'E1', 'E1']"
5381998,"['E1', 'E2']"
5381999,"['E1', 'E1', 'E1']"
5382001,"['E1', 'E1', 'E1', 'E1', 'E2', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382005,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382006,"['E1', 'E1', 'E1']"
5382008,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382009,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382010,"['E1', 'E1', 'E1']"
5382012,"['E1', 'E2']"
5382014,"['E1', 'E1', 'E1']"
5382015,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382016,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382017,"['E1', 'E1', 'E1']"
5382019,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382022,"['E1', 'E2']"
5382023,"['E1', 'E1', 'E1']"
5382024,"['E1', 'E1', 'E1', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382026,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382028,"['E1', 'E1', 'E1']"
5382029,"['E1', 'E2']"
5382031,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382032,['E1']
5382033,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382035,"['E1', 'E1', 'E1']"
5382037,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382039,"['E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382040,"['E1', 'E2']"
5382042,"['E1', 'E1', 'E1']"
5382044,"['E1', 'E2', 'E1', 'E1', 'E1']"
5382045,"['E1', 'E1', 'E1']"
5382046,"['E1', 'E1', 'E1', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3', 'E3']"
5382047,"['E1', 'E2']"
5382051,"['E1', 'E1', 'E1', 'E1', 'E2']"
5382053,"['E1', 'E1', 'E1']"
